fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;Tipo Vinho
7.4;0.52;0.14;2.4;0.078;34.0;61.0;0.99528;3.42;0.59;10.8;6.0;Red
7.3;0.305;0.39;1.3;0.059;9.0;30.0;0.99331;3.29;0.52;11.5;6.0;Red
8.8;0.38;0.48;3.8;0.086;9.0;30.0;0.99577;3.23;0.57;12.3;6.0;Red
8.8;0.28;0.46;9.0;0.086;9.0;30.0;0.9984;3.18;0.6;10.9;6.0;Red
8.8;0.46;0.44;2.9;0.065;9.0;30.0;0.99674;3.33;0.62;12.2;6.0;Red
8.8;0.395;0.46;4.6;0.086;9.0;30.0;0.99639;3.27;0.64;12.2;7.0;Red
7.3;0.305;0.39;1.3;0.059;9.0;30.0;0.99331;3.29;0.52;11.5;6.0;Red
8.6;0.315;0.4;2.2;0.079;9.0;30.0;0.99512;3.27;0.67;11.9;6.0;Red
6.0;0.59;0.19;1.5;0.086;9.0;62.0;0.99395;3.42;0.61;11.0;5.0;Red
6.8;0.41;0.31;8.8;0.084;26.0;45.0;0.99824;3.38;0.64;10.1;6.0;Red
8.4;0.36;0.32;2.2;0.081;32.0;79.0;0.9964;3.3;0.72;11.0;6.0;Red
8.4;0.59;0.14;1.8;0.07200000000000001;38.0;46.0;0.99504;3.38;0.72;11.8;6.0;Red
8.8;0.41;0.37;2.3;0.086;10.0;30.0;0.99786;3.24;0.56;10.5;5.0;Red
8.4;0.36;0.32;2.2;0.081;32.0;79.0;0.9964;3.3;0.72;11.0;6.0;Red
8.4;0.59;0.14;1.8;0.07200000000000001;38.0;46.0;0.99504;3.38;0.72;11.8;6.0;Red
6.8;0.41;0.31;8.8;0.084;26.0;45.0;0.99824;3.38;0.64;10.1;6.0;Red
8.6;0.47;0.27;2.3;0.055;14.0;30.0;0.99516;3.18;0.72;11.2;5.0;Red
8.6;0.22;0.36;1.9;0.064;53.0;77.0;0.99604;3.42;0.72;11.0;7.0;Red
8.8;0.24;0.33;2.3;0.061;52.0;73.0;0.99786;3.42;0.72;10.2;6.0;Red
8.4;0.59;0.19;2.2;0.086;11.0;75.0;0.99736;3.2;0.59;9.2;5.0;Red
8.6;0.47;0.27;2.3;0.055;14.0;30.0;0.99516;3.18;0.72;11.2;5.0;Red
8.7;0.33;0.38;3.3;0.063;10.0;30.0;0.99468;3.3;0.72;12.0;7.0;Red
6.6;0.59;0.14;1.9;0.08;9.0;30.0;0.99746;3.42;0.72;10.5;5.0;Red
7.4;0.59;0.14;2.0;0.07400000000000001;13.0;38.0;0.99748;3.42;0.65;9.8;5.0;Red
7.6;0.4;0.29;1.9;0.078;29.0;66.0;0.9971;3.42;0.59;9.5;6.0;Red
7.4;0.59;0.14;2.0;0.07400000000000001;13.0;38.0;0.99748;3.42;0.65;9.8;5.0;Red
6.6;0.59;0.14;1.9;0.08;9.0;30.0;0.99746;3.42;0.72;10.5;5.0;Red
8.8;0.3;0.38;2.3;0.06;19.0;72.0;0.99543;3.39;0.72;11.8;6.0;Red
8.8;0.3;0.38;2.3;0.06;19.0;72.0;0.99543;3.39;0.72;11.8;6.0;Red
8.8;0.59;0.49;1.4;0.071;9.0;30.0;0.99791;3.07;0.6;10.4;5.0;Red
7.2;0.38;0.38;2.8;0.068;23.0;42.0;0.99356;3.34;0.72;12.3;7.0;Red
6.2;0.46;0.17;1.6;0.073;9.0;30.0;0.99425;3.42;0.54;11.4;5.0;Red
8.8;0.33;0.49;2.2;0.07400000000000001;13.0;30.0;0.99509;3.36;0.72;12.3;7.0;Red
8.8;0.27;0.49;5.0;0.08199999999999999;9.0;30.0;0.99484;3.19;0.52;12.3;7.0;Red
8.8;0.43;0.4;2.6;0.086;13.0;52.0;0.99834;3.22;0.64;10.0;7.0;Red
8.8;0.5;0.34;2.3;0.086;10.0;45.0;0.9984;3.24;0.6;9.7;7.0;Red
8.3;0.3;0.49;3.8;0.086;11.0;30.0;0.99498;3.27;0.64;12.1;7.0;Red
8.8;0.44;0.42;2.0;0.071;9.0;30.0;0.99566;3.14;0.72;11.1;7.0;Red
8.8;0.44;0.49;4.1;0.086;11.0;30.0;0.99745;3.29;0.72;12.0;7.0;Red
8.3;0.28;0.48;2.1;0.086;9.0;30.0;0.99408;3.26;0.62;12.3;7.0;Red
8.8;0.18;0.45;1.8;0.075;10.0;30.0;0.99552;3.41;0.72;11.9;7.0;Red
8.8;0.18;0.45;1.8;0.075;10.0;30.0;0.99552;3.41;0.72;11.9;7.0;Red
8.8;0.18;0.45;1.8;0.075;10.0;30.0;0.99552;3.41;0.72;11.9;7.0;Red
8.3;0.28;0.48;2.1;0.086;9.0;30.0;0.99408;3.26;0.62;12.3;7.0;Red
8.2;0.31;0.4;2.2;0.058;9.0;30.0;0.99536;3.31;0.68;11.2;7.0;Red
8.8;0.34;0.48;2.1;0.052000000000000005;9.0;30.0;0.99458;3.2;0.69;12.1;7.0;Red
7.6;0.43;0.4;2.7;0.08199999999999999;9.0;30.0;0.99538;3.42;0.54;12.2;6.0;Red
8.5;0.21;0.49;1.9;0.086;9.0;30.0;0.99648;3.36;0.67;10.4;5.0;Red
8.8;0.36;0.49;2.1;0.086;9.0;30.0;0.99568;3.31;0.62;11.3;6.0;Red
8.8;0.37;0.49;2.0;0.086;12.0;51.0;0.99613;3.29;0.58;11.1;6.0;Red
6.4;0.57;0.14;2.3;0.086;25.0;36.0;0.99519;3.42;0.71;11.3;7.0;Red
8.0;0.59;0.14;2.0;0.086;12.0;32.0;0.99735;3.36;0.61;10.0;5.0;Red
8.5;0.47;0.27;1.9;0.058;18.0;38.0;0.99518;3.16;0.72;11.1;6.0;Red
7.1;0.56;0.14;1.6;0.078;9.0;30.0;0.99592;3.27;0.62;9.3;5.0;Red
6.6;0.57;0.14;2.1;0.086;9.0;30.0;0.99654;3.38;0.69;9.5;5.0;Red
8.8;0.27;0.39;2.0;0.086;20.0;30.0;0.99546;3.15;0.69;11.2;6.0;Red
8.5;0.47;0.27;1.9;0.058;18.0;38.0;0.99518;3.16;0.72;11.1;6.0;Red
8.3;0.34;0.4;2.4;0.065;24.0;48.0;0.99554;3.34;0.72;11.0;6.0;Red
8.8;0.38;0.41;2.4;0.086;9.0;30.0;0.99604;3.13;0.58;11.9;7.0;Red
8.5;0.59;0.2;2.1;0.086;23.0;113.0;0.99733;3.13;0.48;9.2;5.0;Red
8.8;0.4;0.43;2.4;0.068;29.0;46.0;0.9943;3.2;0.6;12.2;6.0;Red
6.7;0.56;0.14;2.9;0.079;9.0;30.0;0.99669;3.42;0.61;10.2;5.0;Red
8.8;0.26;0.48;1.9;0.066;9.0;30.0;0.99724;3.33;0.72;10.9;6.0;Red
8.8;0.26;0.48;1.9;0.066;9.0;30.0;0.99724;3.33;0.72;10.9;6.0;Red
8.8;0.38;0.49;2.4;0.086;9.0;30.0;0.99643;3.22;0.65;11.6;7.0;Red
8.5;0.34;0.44;1.7;0.079;9.0;30.0;0.99605;3.42;0.63;10.7;5.0;Red
8.8;0.33;0.41;5.9;0.073;9.0;30.0;0.99658;3.3;0.62;12.1;7.0;Red
7.2;0.41;0.3;2.1;0.083;35.0;72.0;0.997;3.42;0.52;9.4;5.0;Red
7.2;0.41;0.3;2.1;0.083;35.0;72.0;0.997;3.42;0.52;9.4;5.0;Red
8.4;0.59;0.29;2.6;0.086;31.0;119.0;0.99801;3.15;0.5;9.1;5.0;Red
7.0;0.4;0.32;3.6;0.061;9.0;30.0;0.99416;3.28;0.49;11.3;7.0;Red
8.8;0.45;0.49;1.4;0.075;9.0;30.0;0.9969;3.13;0.63;10.4;5.0;Red
8.8;0.5;0.3;1.9;0.065;9.0;30.0;0.99774;3.32;0.71;10.5;6.0;Red
8.8;0.59;0.26;1.9;0.079;13.0;30.0;0.99712;3.25;0.62;10.0;5.0;Red
7.3;0.52;0.32;2.1;0.07;51.0;70.0;0.99418;3.34;0.72;12.3;6.0;Red
8.8;0.5;0.3;1.9;0.065;9.0;30.0;0.99774;3.32;0.71;10.5;6.0;Red
8.8;0.45;0.49;1.4;0.075;9.0;30.0;0.9969;3.13;0.63;10.4;5.0;Red
7.4;0.58;0.14;2.0;0.064;9.0;30.0;0.99562;3.42;0.58;11.3;6.0;Red
8.8;0.34;0.39;1.4;0.066;9.0;30.0;0.9947;3.19;0.55;11.4;7.0;Red
7.1;0.36;0.3;1.6;0.08;35.0;70.0;0.99693;3.42;0.5;9.4;5.0;Red
7.7;0.39;0.14;1.7;0.086;19.0;30.0;0.99596;3.16;0.49;9.4;5.0;Red
8.8;0.295;0.4;1.5;0.073;14.0;30.0;0.99556;3.14;0.51;10.9;6.0;Red
7.7;0.39;0.14;1.7;0.086;19.0;30.0;0.99596;3.16;0.49;9.4;5.0;Red
7.1;0.34;0.28;2.0;0.08199999999999999;31.0;68.0;0.99694;3.42;0.48;9.4;5.0;Red
6.5;0.4;0.14;2.0;0.076;30.0;47.0;0.99554;3.36;0.48;9.4;6.0;Red
7.1;0.34;0.28;2.0;0.08199999999999999;31.0;68.0;0.99694;3.42;0.48;9.4;5.0;Red
8.8;0.35;0.45;2.5;0.086;20.0;88.0;0.9984;3.15;0.43;9.4;5.0;Red
7.7;0.59;0.14;2.0;0.079;19.0;41.0;0.99697;3.39;0.62;10.1;6.0;Red
6.0;0.59;0.14;2.2;0.086;9.0;30.0;0.99378;3.42;0.63;12.3;7.0;Red
6.0;0.59;0.14;2.2;0.086;9.0;30.0;0.99378;3.42;0.63;12.3;7.0;Red
8.8;0.59;0.34;1.4;0.05;9.0;30.0;0.99554;3.12;0.48;9.1;6.0;Red
6.4;0.59;0.14;1.65;0.055;9.0;30.0;0.99162;3.42;0.53;12.3;6.0;Red
7.5;0.43;0.3;2.2;0.062;9.0;30.0;0.99495;3.42;0.72;11.5;7.0;Red
8.8;0.35;0.38;1.5;0.058;31.0;47.0;0.99676;3.26;0.72;10.6;7.0;Red
8.8;0.29;0.33;2.05;0.063;13.0;30.0;0.99516;3.26;0.72;11.7;7.0;Red
6.8;0.36;0.32;1.8;0.067;9.0;30.0;0.9928;3.36;0.55;12.3;7.0;Red
8.2;0.43;0.29;1.6;0.081;27.0;45.0;0.99603;3.25;0.54;10.3;5.0;Red
6.8;0.36;0.32;1.8;0.067;9.0;30.0;0.9928;3.36;0.55;12.3;7.0;Red
8.8;0.29;0.33;2.05;0.063;13.0;30.0;0.99516;3.26;0.72;11.7;7.0;Red
8.8;0.3;0.34;2.0;0.064;12.0;30.0;0.99516;3.26;0.72;11.7;7.0;Red
8.8;0.35;0.4;3.6;0.086;12.0;30.0;0.99549;3.23;0.7;12.0;7.0;Red
8.8;0.5;0.36;2.8;0.086;26.0;55.0;0.99722;3.18;0.68;10.9;5.0;Red
8.8;0.28;0.45;1.7;0.067;9.0;30.0;0.99354;3.25;0.55;12.3;7.0;Red
8.8;0.32;0.31;2.0;0.086;12.0;30.0;0.9957;3.17;0.55;10.4;6.0;Red
7.7;0.59;0.15;2.1;0.086;11.0;32.0;0.99604;3.23;0.48;10.0;5.0;Red
7.5;0.59;0.14;1.6;0.086;22.0;31.0;0.99635;3.38;0.58;10.0;6.0;Red
8.0;0.58;0.16;2.0;0.086;9.0;30.0;0.99454;3.22;0.58;11.2;6.0;Red
8.8;0.39;0.46;2.2;0.075;14.0;30.0;0.99598;3.06;0.72;11.4;6.0;Red
8.8;0.38;0.4;2.2;0.068;12.0;30.0;0.99486;3.27;0.72;12.3;7.0;Red
8.0;0.18;0.37;1.3;0.049;36.0;109.0;0.9906699999999999;3.02;0.44;12.3;6.0;Red
8.0;0.18;0.37;1.3;0.049;36.0;109.0;0.9906699999999999;3.02;0.44;12.3;6.0;Red
7.0;0.5;0.14;1.8;0.078;10.0;30.0;0.99636;3.42;0.61;10.4;5.0;Red
8.8;0.36;0.49;2.4;0.086;9.0;30.0;0.99642;3.2;0.53;11.9;6.0;Red
8.8;0.36;0.49;2.4;0.086;9.0;30.0;0.99642;3.2;0.53;11.9;6.0;Red
7.0;0.51;0.14;2.1;0.062;9.0;30.0;0.99584;3.35;0.54;10.5;5.0;Red
8.2;0.32;0.42;2.3;0.086;9.0;30.0;0.99506;3.27;0.55;12.3;6.0;Red
7.7;0.58;0.14;1.8;0.086;12.0;30.0;0.99568;3.32;0.56;10.5;7.0;Red
8.6;0.59;0.14;2.8;0.086;17.0;43.0;0.99822;3.33;0.6;10.4;6.0;Red
7.9;0.31;0.32;1.9;0.066;14.0;36.0;0.99364;3.41;0.56;12.3;6.0;Red
6.4;0.59;0.14;2.2;0.065;28.0;52.0;0.99378;3.42;0.52;11.6;5.0;Red
7.2;0.34;0.21;2.5;0.075;41.0;68.0;0.99586;3.37;0.54;10.1;6.0;Red
7.7;0.58;0.14;1.8;0.086;12.0;30.0;0.99568;3.32;0.56;10.5;7.0;Red
7.1;0.59;0.14;2.1;0.086;9.0;30.0;0.99488;3.42;0.55;11.5;7.0;Red
7.3;0.55;0.14;1.8;0.086;9.0;30.0;0.99514;3.35;0.58;11.0;7.0;Red
8.1;0.59;0.14;4.1;0.086;9.0;30.0;0.9984;3.36;0.53;9.6;5.0;Red
7.5;0.57;0.14;2.6;0.086;14.0;30.0;0.99592;3.3;0.59;10.4;6.0;Red
8.8;0.59;0.18;2.5;0.077;15.0;48.0;0.99739;3.2;0.47;9.7;6.0;Red
8.8;0.37;0.34;2.4;0.085;9.0;30.0;0.99683;3.17;0.65;10.6;7.0;Red
7.6;0.31;0.34;2.5;0.08199999999999999;26.0;35.0;0.99356;3.22;0.59;12.3;7.0;Red
7.3;0.59;0.14;1.8;0.07400000000000001;20.0;56.0;0.99672;3.35;0.56;9.2;5.0;Red
8.7;0.41;0.41;6.2;0.078;25.0;42.0;0.9953;3.24;0.72;12.3;7.0;Red
8.8;0.5;0.21;2.2;0.086;21.0;39.0;0.99692;3.33;0.72;11.1;6.0;Red
7.4;0.59;0.14;2.2;0.086;16.0;32.0;0.99756;3.42;0.67;10.2;5.0;Red
6.9;0.49;0.19;1.7;0.079;13.0;30.0;0.99547;3.38;0.64;9.8;6.0;Red
8.8;0.5;0.21;2.2;0.086;21.0;39.0;0.99692;3.33;0.72;11.1;6.0;Red
8.8;0.39;0.41;8.9;0.069;18.0;39.0;0.9984;3.29;0.72;10.9;7.0;Red
6.4;0.39;0.33;3.3;0.046;12.0;53.0;0.99294;3.36;0.62;12.2;6.0;Red
6.9;0.44;0.14;1.4;0.07;32.0;38.0;0.99438;3.32;0.58;11.4;6.0;Red
7.6;0.59;0.14;1.7;0.076;33.0;45.0;0.99612;3.31;0.62;10.7;6.0;Red
7.1;0.43;0.17;1.8;0.08199999999999999;27.0;51.0;0.99634;3.42;0.64;10.4;5.0;Red
8.8;0.49;0.36;1.7;0.081;9.0;30.0;0.99702;3.27;0.72;10.9;6.0;Red
8.8;0.5;0.36;1.8;0.084;9.0;30.0;0.99704;3.27;0.72;10.8;6.0;Red
7.1;0.43;0.17;1.8;0.08199999999999999;27.0;51.0;0.99634;3.42;0.64;10.4;5.0;Red
8.5;0.46;0.49;1.4;0.086;16.0;45.0;0.99702;3.03;0.72;9.2;5.0;Red
6.0;0.59;0.14;2.4;0.073;19.0;30.0;0.99258;3.42;0.55;12.3;5.0;Red
8.3;0.33;0.42;2.3;0.07;9.0;30.0;0.99426;3.38;0.72;12.3;7.0;Red
8.2;0.59;0.27;2.0;0.086;9.0;77.0;0.99747;3.13;0.62;9.1;6.0;Red
8.2;0.59;0.27;2.0;0.086;9.0;77.0;0.99747;3.13;0.62;9.1;6.0;Red
8.8;0.48;0.49;4.0;0.086;9.0;30.0;0.99586;3.21;0.59;12.1;7.0;Red
7.6;0.42;0.25;3.9;0.086;28.0;90.0;0.99784;3.15;0.57;9.1;5.0;Red
8.8;0.53;0.49;2.4;0.086;30.0;52.0;0.9971;3.19;0.72;11.6;7.0;Red
8.8;0.48;0.49;4.0;0.086;9.0;30.0;0.99586;3.21;0.59;12.1;7.0;Red
8.8;0.23;0.49;1.8;0.07400000000000001;9.0;30.0;0.9981;3.14;0.7;9.9;6.0;Red
8.8;0.4;0.49;1.8;0.071;9.0;30.0;0.99462;3.21;0.69;12.3;7.0;Red
8.0;0.38;0.44;1.9;0.086;9.0;30.0;0.9956;3.3;0.64;11.4;6.0;Red
8.8;0.29;0.49;2.4;0.075;9.0;30.0;0.99565;3.22;0.63;11.8;6.0;Red
8.2;0.59;0.14;2.0;0.067;9.0;30.0;0.99418;3.28;0.57;11.8;6.0;Red
7.7;0.59;0.18;2.4;0.083;9.0;30.0;0.9963;3.29;0.6;10.2;6.0;Red
6.6;0.52;0.14;2.4;0.07;13.0;30.0;0.99358;3.4;0.72;12.3;7.0;Red
8.8;0.31;0.49;2.2;0.06;9.0;30.0;0.99572;3.02;0.72;10.9;7.0;Red
8.8;0.31;0.49;2.2;0.06;9.0;30.0;0.99572;3.02;0.72;10.9;7.0;Red
8.0;0.59;0.35;2.8;0.086;28.0;52.0;0.997;3.31;0.62;10.8;5.0;Red
8.8;0.33;0.45;1.5;0.057;19.0;37.0;0.99498;3.18;0.72;11.1;7.0;Red
7.5;0.59;0.2;8.1;0.086;30.0;92.0;0.9984;3.2;0.58;9.2;5.0;Red
7.2;0.35;0.26;1.8;0.083;33.0;75.0;0.9968;3.4;0.58;9.5;6.0;Red
8.0;0.59;0.33;2.7;0.086;16.0;37.0;0.9972;3.31;0.58;10.7;6.0;Red
7.5;0.59;0.2;8.1;0.086;30.0;92.0;0.9984;3.2;0.58;9.2;5.0;Red
8.8;0.25;0.34;2.0;0.071;45.0;67.0;0.99769;3.42;0.72;10.2;7.0;Red
8.8;0.32;0.49;2.0;0.073;9.0;30.0;0.99534;3.15;0.72;11.4;6.0;Red
8.6;0.37;0.49;6.4;0.08;9.0;30.0;0.99817;3.27;0.58;11.0;5.0;Red
8.6;0.37;0.49;6.4;0.08;9.0;30.0;0.99817;3.27;0.58;11.0;5.0;Red
7.9;0.3;0.49;8.3;0.05;37.5;188.0;0.99316;3.02;0.51;12.3;7.0;Red
8.8;0.27;0.49;1.4;0.047;9.0;30.0;0.99471;3.16;0.51;11.8;6.0;Red
7.9;0.3;0.49;8.3;0.05;37.5;188.0;0.99316;3.02;0.51;12.3;7.0;Red
7.2;0.38;0.3;1.8;0.073;31.0;70.0;0.99685;3.42;0.59;9.5;6.0;Red
8.7;0.42;0.45;2.4;0.07200000000000001;32.0;59.0;0.99617;3.33;0.72;12.0;6.0;Red
7.2;0.38;0.3;1.8;0.073;31.0;70.0;0.99685;3.42;0.59;9.5;6.0;Red
6.8;0.48;0.14;1.8;0.07400000000000001;40.0;64.0;0.99529;3.12;0.49;9.6;5.0;Red
8.5;0.34;0.4;4.7;0.055;9.0;30.0;0.99738;3.38;0.66;11.6;7.0;Red
7.9;0.19;0.42;1.6;0.057;18.0;30.0;0.994;3.29;0.69;11.2;6.0;Red
8.8;0.41;0.49;1.5;0.086;22.0;41.0;0.99735;3.02;0.72;9.9;7.0;Red
8.8;0.41;0.49;1.5;0.086;22.0;41.0;0.99735;3.02;0.72;9.9;7.0;Red
8.8;0.26;0.49;1.9;0.083;42.0;74.0;0.99451;3.02;0.63;11.8;7.0;Red
7.9;0.34;0.42;2.0;0.086;9.0;30.0;0.99546;3.35;0.6;11.4;6.0;Red
7.0;0.54;0.14;2.0;0.081;10.0;30.0;0.99479;3.42;0.59;11.5;6.0;Red
8.8;0.31;0.36;2.2;0.079;11.0;31.0;0.99615;3.33;0.72;12.0;7.0;Red
6.6;0.59;0.14;5.5;0.086;9.0;30.0;0.99655;3.35;0.49;10.8;6.0;Red
8.8;0.4;0.47;2.5;0.086;9.0;30.0;0.99772;3.15;0.5;10.5;5.0;Red
6.6;0.59;0.14;5.5;0.086;9.0;30.0;0.99655;3.35;0.49;10.8;6.0;Red
8.6;0.52;0.38;1.5;0.086;9.0;30.0;0.99666;3.2;0.52;9.4;5.0;Red
8.0;0.31;0.45;2.1;0.086;9.0;30.0;0.99358;3.15;0.72;12.3;7.0;Red
8.6;0.52;0.38;1.5;0.086;9.0;30.0;0.99666;3.2;0.52;9.4;5.0;Red
8.4;0.34;0.42;2.1;0.07200000000000001;23.0;36.0;0.99392;3.11;0.72;12.3;6.0;Red
7.4;0.49;0.27;2.1;0.071;14.0;30.0;0.99388;3.35;0.63;12.0;6.0;Red
6.1;0.48;0.14;1.7;0.078;18.0;30.0;0.99402;3.42;0.54;11.2;6.0;Red
7.4;0.49;0.27;2.1;0.071;14.0;30.0;0.99388;3.35;0.63;12.0;6.0;Red
8.0;0.48;0.34;2.2;0.073;16.0;30.0;0.9936;3.28;0.66;12.3;6.0;Red
6.3;0.57;0.28;2.1;0.048;13.0;49.0;0.99374;3.41;0.6;12.3;5.0;Red
8.2;0.23;0.42;1.9;0.069;9.0;30.0;0.99376;3.21;0.54;12.3;6.0;Red
8.8;0.3;0.41;2.0;0.068;10.0;30.0;0.99523;3.27;0.72;11.7;7.0;Red
8.1;0.59;0.14;3.3;0.086;9.0;30.0;0.9984;3.36;0.49;9.5;5.0;Red
8.8;0.47;0.43;2.1;0.086;27.0;66.0;0.9982;3.17;0.72;10.8;6.0;Red
8.3;0.53;0.14;1.4;0.07;9.0;30.0;0.99593;3.25;0.64;10.0;6.0;Red
6.0;0.42;0.27;2.0;0.086;23.0;55.0;0.99471;3.42;0.64;12.3;7.0;Red
7.9;0.33;0.41;1.5;0.056;9.0;35.0;0.99396;3.29;0.71;11.0;6.0;Red
8.8;0.24;0.39;1.6;0.07400000000000001;9.0;30.0;0.99698;3.12;0.59;9.5;6.0;Red
6.0;0.4;0.49;4.3;0.046;29.0;80.0;0.9906699999999999;3.42;0.66;12.3;6.0;Red
7.0;0.59;0.14;2.5;0.086;15.0;30.0;0.99572;3.38;0.6;11.3;6.0;Red
7.0;0.59;0.14;2.5;0.086;15.0;30.0;0.99572;3.38;0.6;11.3;6.0;Red
7.0;0.59;0.14;2.5;0.086;15.0;30.0;0.99572;3.38;0.6;11.3;6.0;Red
7.1;0.39;0.14;2.1;0.065;14.0;30.0;0.99252;3.3;0.53;12.3;6.0;Red
6.0;0.59;0.14;2.5;0.066;9.0;30.0;0.99256;3.42;0.58;12.3;5.0;Red
7.9;0.54;0.34;2.5;0.076;9.0;30.0;0.99235;3.2;0.72;12.3;7.0;Red
6.6;0.5;0.14;1.8;0.062;21.0;30.0;0.99352;3.42;0.55;12.3;6.0;Red
6.3;0.47;0.14;1.4;0.055;27.0;33.0;0.9922;3.42;0.48;12.3;6.0;Red
8.8;0.4;0.37;1.9;0.081;17.0;30.0;0.99674;3.12;0.65;11.2;6.0;Red
6.5;0.58;0.14;2.2;0.086;9.0;30.0;0.99557;3.42;0.62;11.5;5.0;Red
8.8;0.24;0.35;1.7;0.055;13.0;30.0;0.99394;3.14;0.59;11.3;7.0;Red
6.0;0.29;0.26;1.7;0.063;9.0;30.0;0.9915;3.39;0.54;12.3;6.0;Red
6.3;0.59;0.14;2.9;0.07200000000000001;26.0;52.0;0.99379;3.42;0.6;11.5;6.0;Red
8.8;0.43;0.33;2.7;0.086;28.0;89.0;0.9984;3.22;0.68;10.0;5.0;Red
8.8;0.43;0.35;3.3;0.086;24.0;70.0;0.99798;3.21;0.69;10.5;6.0;Red
8.8;0.59;0.14;1.9;0.058;9.0;30.0;0.9977;3.18;0.63;10.4;6.0;Red
6.0;0.19;0.21;1.7;0.045;54.0;135.0;0.99341;3.32;0.44;9.5;5.0;Red
7.4;0.36;0.34;1.8;0.075;18.0;38.0;0.9933;3.38;0.72;12.3;7.0;Red
7.2;0.48;0.14;5.5;0.086;10.0;30.0;0.99684;3.37;0.68;11.2;7.0;Red
8.5;0.28;0.35;1.7;0.061;9.0;30.0;0.99524;3.3;0.72;11.8;7.0;Red
8.0;0.25;0.43;1.7;0.067;22.0;50.0;0.9946;3.38;0.6;11.9;6.0;Red
8.8;0.52;0.45;2.0;0.08;9.0;30.0;0.99774;3.22;0.72;11.4;6.0;Red
8.8;0.52;0.45;2.0;0.08;9.0;30.0;0.99774;3.22;0.72;11.4;6.0;Red
7.5;0.41;0.15;3.7;0.086;29.0;94.0;0.99786;3.14;0.58;9.1;5.0;Red
8.2;0.51;0.24;2.0;0.079;16.0;86.0;0.99764;3.34;0.64;9.5;6.0;Red
7.3;0.4;0.3;1.7;0.08;33.0;79.0;0.9969;3.41;0.65;9.5;6.0;Red
8.2;0.38;0.32;2.5;0.08;24.0;71.0;0.99624;3.27;0.72;11.0;6.0;Red
6.9;0.45;0.14;2.4;0.043;9.0;30.0;0.99354;3.3;0.65;11.4;6.0;Red
7.0;0.22;0.3;1.8;0.065;16.0;30.0;0.99672;3.42;0.72;10.0;6.0;Red
7.3;0.32;0.23;2.3;0.066;35.0;70.0;0.99588;3.42;0.62;10.1;5.0;Red
8.2;0.2;0.43;2.5;0.076;31.0;51.0;0.99672;3.42;0.72;10.4;6.0;Red
7.8;0.5;0.14;1.8;0.086;9.0;30.0;0.996;3.28;0.72;9.8;6.0;Red
8.8;0.41;0.45;6.2;0.071;9.0;30.0;0.99702;3.21;0.49;11.8;7.0;Red
7.8;0.39;0.42;2.0;0.086;9.0;30.0;0.99526;3.39;0.66;11.6;6.0;Red
8.8;0.35;0.47;2.0;0.061;9.0;30.0;0.99585;3.23;0.52;12.0;6.0;Red
8.2;0.33;0.32;2.8;0.067;9.0;30.0;0.99473;3.3;0.72;12.3;7.0;Red
6.1;0.58;0.23;2.5;0.044;16.0;70.0;0.99352;3.42;0.65;12.3;6.0;Red
8.3;0.59;0.25;2.2;0.086;9.0;38.0;0.99616;3.15;0.53;9.8;5.0;Red
8.8;0.42;0.35;2.1;0.083;17.0;38.0;0.99622;3.23;0.66;11.1;6.0;Red
6.6;0.58;0.14;2.2;0.086;50.0;63.0;0.99544;3.42;0.68;11.4;6.0;Red
8.3;0.59;0.25;2.2;0.086;9.0;38.0;0.99616;3.15;0.53;9.8;5.0;Red
8.5;0.18;0.49;1.75;0.071;45.0;88.0;0.99524;3.33;0.72;11.8;7.0;Red
6.0;0.51;0.18;2.1;0.042;16.0;101.0;0.9924;3.42;0.72;12.3;7.0;Red
6.7;0.41;0.43;2.8;0.076;22.0;54.0;0.99572;3.42;0.72;10.6;6.0;Red
8.8;0.41;0.43;2.2;0.086;11.0;37.0;0.99728;3.16;0.67;10.8;5.0;Red
8.8;0.36;0.49;2.3;0.086;9.0;30.0;0.99676;3.14;0.72;11.1;7.0;Red
8.8;0.45;0.43;1.4;0.076;12.0;30.0;0.99551;3.21;0.72;10.2;6.0;Red
8.5;0.32;0.42;2.3;0.075;12.0;30.0;0.99434;3.14;0.71;11.8;7.0;Red
8.8;0.59;0.24;1.7;0.078;10.0;30.0;0.99692;3.29;0.67;10.0;5.0;Red
8.8;0.59;0.24;1.7;0.078;10.0;30.0;0.99692;3.29;0.67;10.0;5.0;Red
8.5;0.44;0.49;1.9;0.086;15.0;38.0;0.99634;3.02;0.72;9.4;5.0;Red
8.8;0.54;0.26;2.0;0.086;9.0;60.0;0.99709;3.02;0.72;10.2;5.0;Red
8.2;0.33;0.39;2.5;0.07400000000000001;29.0;48.0;0.99528;3.32;0.72;12.3;7.0;Red
6.5;0.34;0.27;2.8;0.067;9.0;44.0;0.99384;3.21;0.56;12.0;6.0;Red
7.6;0.5;0.29;2.3;0.086;9.0;30.0;0.99502;3.32;0.62;11.5;6.0;Red
8.8;0.36;0.34;1.6;0.062;9.0;30.0;0.99667;3.2;0.67;10.5;6.0;Red
7.1;0.59;0.14;2.2;0.078;26.0;44.0;0.99522;3.42;0.68;10.8;6.0;Red
8.8;0.42;0.46;2.1;0.07400000000000001;9.0;30.0;0.99649;3.27;0.72;12.3;6.0;Red
